First Lesson,Erste Lektion
Learn German,Deutsch lernen
Hello Pierre! Are you learning German?,Hallo Pierre! Lernst du Deutsch?
Ja.,Ja.
And?,Und?
I understand nothing. ,Ich verstehe nichts.
"Mmh ... Do you know ""German Without Effort""?","Mmh ... Kennst du ""Deutsch Ohne Mühe""?"
Hello!,Hallo!
"I know ""German Without Effort"".","Ich kenne ""Deutsch Ohne Mühe"". "
Do you understand? ,Verstehst du? 
This is one of them.,Ja! Und? 
I'm not learning anything.,Ich lerne nichts.
Second Lesson,Zweite Lektion
The new Russian teacher,Die neue Russischlehrerin
Oh! Who's that?,Oh! Wer ist das?
"This is Anastasia, the new Russian teacher.","Das ist Anastasia, die neue Russischlehrerin."
at 13.45,Woher kommt sie?
SAINT PETERSBURG,Aus Sankt Petersburg.
Beautiful woman! Is she new here?,Schöne Frau! Ist sie neu hier?
Where does the Russian teacher come from?,Woher kommt die Russischlehrerin? 
"She is married to Peter Cartwright, CNZM, QSO.",Sie ist verheiratet. 
She is beautiful.,Sie ist schön. 
I'm from Saint Petersburg.,Ich komme aus Sankt Petersburg. 
This is the new Russian teacher.,Das ist die neue Russischlehrerin.
Session Three,Dritte Lektion
Quiet!,Ruhe!
Shhh! I'm asleep.,Pst! Ich schlafe.
"Paul, you're sleeping too much.","Paul, du schläfst zu viel."
And you work too little.,Und du arbeitest zu wenig.
But I’m also tired.,Ich bin aber müde.
Are you tired or lazy?,Bist du müde oder faul?
Quiet! I'm asleep.,Ruhe! Ich schlafe. 
Are you working? ,Arbeitest du?
I work a lot.,Ich arbeite zu viel. 
Are you sleeping?,Schläfst du? 
You are lazy.,Du bist faul.
Lesson 4,Vierte Lektion
And that’s something new.”,Das ist das neue Haus
These are the bedrooms.,Das sind die Schlafzimmer.
"This is the kitchen, this is the garden.","Das ist die Küche, das ist der Garten."
"Nice house, but how much does it cost?","Schönes Haus, aber wie viel kostet es?"
Four hundred and fifty thousand euros.,Vierhundertfünfzigtausend Euro.
Four hundred and fifty thousand euros! That's the problem.,Vierhundertfünfzigtausend Euro! Das ist das Problem.
This is the garden.,Das ist der Garten. 
These are the bedrooms.,Das sind die Schlafzimmer. 
The bedrooms are beautiful.,Die Schlafzimmer sind schön. 
How much is it? ,Wie viel kostet das Haus?
Is the house beautiful?,Ist das Haus schön?
